"county_index","target_cancer","AGE65","BROAD","CROWD","HCOST","NOHSDP","POV150","REMNRTY","SNGPNT","UNEMP","No_Vehicle_10_Miles","No_Vehicle_1_Mile","No_Vehicle_Half_Mile"
"36045","6.4","13.7","11.5","1.6","28","8.8","22.1","19.1","5.8","6","0.024950743790276092","1.1640812533877087","2.031334692718685"
"33015","6.4","18.1","6.5","1.4","21.9","4.5","8.2","8.8","4.5","3.6","0","0.5829491604651399","0.8925456349945635"
"26055","6.7","20","10.8","1.6","25.7","4.8","17.6","7.6","5.3","4.3","0","0.6219391626238705","1.1059250913940175"
"56005","6.3","10.7","8.5","1.6","18.4","7.6","15.7","13.3","7.2","3.3","0.08237053735937398","0.7261613161944812","1.2550668718704614"
"51770","6.1","16.7","19.1","1.5","32.3","11.7","29.7","42.6","8.4","6.4","0","0.9780278670953912","3.922417346854646"
"53073","6.5","17.5","9.7","3.7","31.3","6.8","20.5","22.5","4.5","5.1","0.019389479964204037","0.8730237645421101","1.7256637168141593"
"10001","6.2","17.2","11.4","1.8","30","11.2","21.3","40.4","8.5","5.6","0","0.9635881954285009","1.9493561702914177"
"46031","6.3","11.2","28.5","9.3","16.4","14","54.4","73","9.9","25.2","1.5308641975308643","3.0123456790123457","3.2839506172839505"
"17109","6.5","17.7","22.3","1","27.3","5","31.1","13.2","4.3","8.6","0.08279161045014105","0.9352385624923342","2.814914755304796"
"20119","6.2","16.4","13.1","0.9","15.1","15.5","19.3","26","7","1.7","0.32786885245901637","0.6557377049180327","1.3333333333333335"
"29101","6.5","12.5","11","1.8","23.8","7","21","15.2","5.4","4.6","0.11027664226637512","1.2035364578381975","1.825268561650347"
"34039","5.7","14.3","11.3","5","30.6","12.7","15.9","61.6","7.5","6.3","0","0.16644951807925085","1.1979519067137125"
"21047","6.2","12.3","21.7","1.9","33","13.8","33.2","35.1","9.8","7.9","0.03921303495368805","1.2237171252788857","2.573186397133392"
"37125","6.4","23.7","13.7","1.1","22.8","7.7","16.8","23.6","4","4.3","0","1.2011739775856405","1.6669121896495065"
"48323","4.7","11.6","31.6","10.2","28.5","36.4","37.4","97.4","12.4","7","0.047919200855173434","0.27829997419735336","1.0671237421209776"
"35015","5.6","14.3","18.5","2.9","15.4","17","24.1","55.7","7.4","4.3","0.09474446859499526","1.0886325215032788","1.7109736387449146"
"5089","6.3","27.8","17.8","2.2","21.6","13.8","30.4","6.8","3.2","7.7","0.22818711343301507","2.0536840208971356","2.5881222602534075"
"17039","6.4","19","16.6","0.7","20.7","6.9","21.9","5.7","4.8","5.4","0.02415313084958638","0.477024334279331","0.803091600748747"
"51157","6.4","25.4","14.7","2","16.4","8.3","12.7","12.1","1.6","3.7","0.14919300149193002","1.1664180116641802","1.20710701207107"
"51041","6.3","15","7.8","1.5","22.1","7.4","11.5","40","6.9","4.7","0","0.5053188125324125","0.8809876168431171"
"45085","5.7","16.4","20","1.8","27","11.9","29.6","55.5","8.4","8.3","0.04280821917808219","1.7225655151876116","2.8048689696247764"
"53039","6.3","23.8","14.7","2.3","25.6","9.4","25.8","18.5","4.3","6.9","0.1328870951865341","0.6152180332709912","0.9302096663057388"
"22015","6.2","14.1","27.8","2.1","27.6","9.6","27","35","8","5.9","0.011113105771121312","0.8300635156737534","1.4840270475897384"
